author,date,push,title,url
yuehsuan,12/30,3,Re: [問卦] 如果麥當勞有吃到飽 開價多少合理？,/bbs/Gossiping/M.1577719524.A.609.html
Wardyal,12/30,18,[問卦] Google注音輸入法是不是屌打GBoard,/bbs/Gossiping/M.1577719646.A.EEB.html
wang1b,12/30,2,[問卦] 誰能體諒我的雨天？,/bbs/Gossiping/M.1577719717.A.AB7.html
AppleWatch5,12/30,4,Re: [問卦] 為何蚊子飛一半會突然消失,/bbs/Gossiping/M.1577719764.A.457.html
xzcb2008,12/30,1,[問卦] 偶爾膽怯你都了解？！,/bbs/Gossiping/M.1577719924.A.29E.html
taxuan,12/30,7,[新聞] 陸副總理劉鶴將赴美簽署第一階段貿易協議,/bbs/Gossiping/M.1577719968.A.D0D.html
LoliComplex,12/30,17,[問卦] 酥皮濃湯要怎麼喝?,/bbs/Gossiping/M.1577720018.A.909.html
F16V,12/30,6,[新聞] 國5蘇澳服務區全新開張 幼童竟翻到18禁漫畫,/bbs/Gossiping/M.1577720092.A.8CF.html
k99t,12/30,7,[問卦] 明天跨年要看台灣還是日本紅白八卦？,/bbs/Gossiping/M.1577720133.A.153.html
zhtw,12/30,4,Re: [問卦] 反對疫苗施打的人在想什麼？,/bbs/Gossiping/M.1577720150.A.77F.html
cloudyheart,12/30,18,Re: [新聞] 韓辦回應德國在台協會：是否受特殊壓力,/bbs/Gossiping/M.1577720206.A.F40.html
hk5566,12/30,6,[問卦] 八卦板男生這麼優秀，為啥跨年卻自己過？,/bbs/Gossiping/M.1577720303.A.DD3.html
Calcifer,12/30,11,[新聞] 韓國瑜失言抨「軟」 韓辦：請馬英九不要見怪,/bbs/Gossiping/M.1577720373.A.ABA.html
kevinet7410,12/30,16,Re: [新聞] 韓辦回應德國在台協會：是否受特殊壓力,/bbs/Gossiping/M.1577720396.A.F67.html
taxuan,12/30,5,[問卦] 香港口味的芒果乾還賣得動嗎？,/bbs/Gossiping/M.1577720409.A.585.html
yokann,12/30,5,Re: [爆卦] 八卦板爆文王 Uscap424 被站方停權啦！,/bbs/Gossiping/M.1577712692.A.A26.html
pikakami,12/30,3,[新聞] 皇居東御苑首次超過200萬遊客,/bbs/Gossiping/M.1577712799.A.A8D.html
yuejhihwang,12/30,44,[問卦] 剩一個多禮拜，選舉公報呢？,/bbs/Gossiping/M.1577712806.A.44B.html
ronnyvvang,12/30,3,Re: [問卦] 那些要你投票的人,/bbs/Gossiping/M.1577712983.A.D7E.html
arsehole,12/30,7,[問卦] 2019的經典名言是哪句?,/bbs/Gossiping/M.1577712984.A.7AB.html
david3809,12/30,1,Re: [問卦] 日本女生真的很表裡不一嗎？,/bbs/Gossiping/M.1577713071.A.34C.html
poeta,12/30,9,[問卦] 跨年下雨怎麼辦,/bbs/Gossiping/M.1577713171.A.35B.html
yniori,12/30,4,Re: [新聞] 郭台銘與宋楚瑜直播吃早餐喊「棄韓保宋,/bbs/Gossiping/M.1577713195.A.845.html
ilw4e,12/30,4,Re: [爆卦] 八卦板爆文王 Uscap424 被站方停權啦！,/bbs/Gossiping/M.1577713361.A.203.html
pulagu,12/30,9,[新聞] 【獨家】原大陸醫生：我為何遠離器官移植,/bbs/Gossiping/M.1577713392.A.4D7.html
kiyoe,12/30,29,[問卦] 淪為笑柄！「全球百大最美面孔」是一個大叔自己排的名？,/bbs/Gossiping/M.1577713445.A.D7C.html
ekalashi,12/30,25,[問卦] 反對疫苗施打的人在想什麼？,/bbs/Gossiping/M.1577713494.A.83D.html
br06,12/30,3,[新聞] 影／韓國瑜總統辯論罵媒體 柯文哲：頭殼,/bbs/Gossiping/M.1577713622.A.6D1.html
proprome,12/30,2,[新聞] 鄭麗君認證「文化好戰友」 感冒淋雨也要,/bbs/Gossiping/M.1577713839.A.165.html
TonyC,12/30,5,Re: [新聞] 飆破415萬！韓國瑜上《博恩》 3天就把蔡,/bbs/Gossiping/M.1577714036.A.C96.html
newtyper,12/30,47,[問卦] 如果麥當勞有吃到飽 開價多少合理？,/bbs/Gossiping/M.1577718786.A.C02.html
gtsandevo,12/30,20,Re: [新聞] 扯！尹立被爆陳菊任內獲19標案,/bbs/Gossiping/M.1577718793.A.74D.html
sea130281,12/30,2,Re: [問卦] 德國到底主流民意是擁核還是廢核??,/bbs/Gossiping/M.1577718850.A.508.html
liang691206,12/30,1,Re: [問卦] 2019誰的逝世最讓你震驚、難過？,/bbs/Gossiping/M.1577717218.A.AB4.html
hn9480412,12/30,7,[新聞] 恍神？誤把油門當煞車踩 婦人撞破銀行門,/bbs/Gossiping/M.1577718026.A.B00.html
yahe0526,12/30,3,[問卦] 計程車司機口中一直念 主戰場是什麼意思?,/bbs/Gossiping/M.1577716369.A.4C7.html
crocus,12/30,2,[新聞] 主計總處：營建不動產景氣佳 空缺數增幅,/bbs/Gossiping/M.1577718857.A.69D.html
Caress,12/30,1,[新聞] 大學生放話「睡過這女人」 現任把前任男,/bbs/Gossiping/M.1577718923.A.7D5.html
colin810106,12/30,2,Re: [問卦] 2019誰的逝世最讓你震驚、難過？,/bbs/Gossiping/M.1577717311.A.AC0.html
a520,12/30,44,Re: [新聞] 總統專機私菸案 2019年第一大新聞,/bbs/Gossiping/M.1577717330.A.2F3.html
IamCuteGirl,12/30,7,[問卦] 中國目前認真打 能贏台灣嗎？,/bbs/Gossiping/M.1577718032.A.24C.html
e1608,12/30,3,[問卦] 貓貓怎麼了？,/bbs/Gossiping/M.1577718126.A.8F4.html
KouChouChing,12/30,15,[新聞] 韓國瑜形容軟弱 馬英九台南輔選未多談,/bbs/Gossiping/M.1577711637.A.5A1.html
JUNOCARE,12/30,6,[問卦] 跨年沒有出去跨年是不是很魯?,/bbs/Gossiping/M.1577715680.A.F44.html
Su22,12/30,49,[新聞] 林郁方粉專竟有「中國小編」！挺韓國瑜粉,/bbs/Gossiping/M.1577716382.A.8F6.html
brokenback3,12/30,16,[新聞]愈陷愈深 台女直播主拍A片,/bbs/Gossiping/M.1577716423.A.F22.html
KKmex,12/30,23,[新聞] 大學生放話「睡過這女人」 現任把前任男,/bbs/Gossiping/M.1577716470.A.A77.html
sylvia0915,12/30,23,[新聞] 大學生模擬開票......蔡英文狂掃85％以上,/bbs/Gossiping/M.1577718964.A.8CF.html
yoyoflag,12/30,1,[問卦] 世紀帝國2為啥不把全文明 都做5~6關,/bbs/Gossiping/M.1577718975.A.0E1.html
askingts,12/30,6,[問卦] 打了HPV疫苗後，懶叫是不是會翹得比較高?,/bbs/Gossiping/M.1577715102.A.A15.html
manuginobii,12/30,6,[問卦] 台大生的資質 如果生在美國考得上哈佛嗎,/bbs/Gossiping/M.1577714118.A.AB1.html
rathunter,12/30,2,Re: [新聞] 郭台銘與宋楚瑜直播吃早餐喊「棄韓保宋,/bbs/Gossiping/M.1577717373.A.9AF.html
angle065,12/30,7,[問卦] 海底撈三星會員能幹嘛,/bbs/Gossiping/M.1577717375.A.3D3.html
Ayanami5566,12/30,4,[問卦] 急!!要怎麼跟女同學借制服??,/bbs/Gossiping/M.1577717457.A.44B.html
kite876521,12/30,11,[問卦] 台灣遊樂園霸主是誰??,/bbs/Gossiping/M.1577718311.A.8B3.html
awdxabc295,12/30,4,[問卦] 被綠了綠回來剛好而已吧？,/bbs/Gossiping/M.1577718336.A.A01.html
asd245438,12/30,2,[新聞] 護理職場爭議通報平台 鼓勵護理吹哨,/bbs/Gossiping/M.1577711665.A.E32.html
ubcs,12/30,35,Re: [爆卦] 各黨居住政策表現,/bbs/Gossiping/M.1577711710.A.9FC.html
aa0000000000,12/30,6,[問卦] 遊戲能治好憂鬱症嗎,/bbs/Gossiping/M.1577715732.A.670.html
seysem,12/30,4,[問卦] 明天往101的捷運會多塞?,/bbs/Gossiping/M.1577715748.A.F62.html
simonneko,12/30,5,Re: [新聞] 柯文哲：總統辯論會藍綠互罵兇  問題在執,/bbs/Gossiping/M.1577716505.A.884.html
monnom,12/30,5,[新聞] 2020元旦 香港大遊行將登場,/bbs/Gossiping/M.1577716511.A.2B9.html
abiese05,12/30,2,[問卦] 那年的舞台上 說謊的人一直歌唱,/bbs/Gossiping/M.1577716515.A.352.html
jojoStar,12/30,2,Re: [問卦] 德國到底主流民意是擁核還是廢核??,/bbs/Gossiping/M.1577718984.A.327.html
blueskymaple,12/30,3,[問卦] 我朋友想到一個比24還好笑的笑話,/bbs/Gossiping/M.1577718986.A.6DA.html
ncc5566,12/30,8,[問卦] 隱蠱用完了怎麼辦？,/bbs/Gossiping/M.1577718988.A.CE1.html
yahe0526,12/30,11,[新聞] 民調差2%！吳怡農、蔣萬安雙帥對決　賴清,/bbs/Gossiping/M.1577715115.A.FF8.html
Audien,12/30,99,[問卦] 2019誰的逝世最讓你震驚、難過？,/bbs/Gossiping/M.1577715116.A.B64.html
yi0116,12/30,2,[問卦] 楓康福袋的八卦,/bbs/Gossiping/M.1577715122.A.CBA.html
geoharmmer,12/30,9,[爆卦] 選前大補帖,/bbs/Gossiping/M.1577714123.A.05B.html
bonfferoni,12/30,2,[問卦] 拎杯真der很生氣啦 幹,/bbs/Gossiping/M.1577714156.A.F09.html
GenghisKhan,12/30,X1,[新聞] 台北市最新街頭民調出爐 看到蔡票數北青,/bbs/Gossiping/M.1577714230.A.5D1.html
babyrock,12/30,4,[問卦] 跨年很多藝人還在唱過氣的歌?,/bbs/Gossiping/M.1577717472.A.CE5.html
IamCuteGirl,12/30,4,[問卦] 找女刺青師刺懶覺的八卦？,/bbs/Gossiping/M.1577717522.A.E42.html
GA389434,12/30,1,[問卦] 還有沒有人還在用桌電打online?,/bbs/Gossiping/M.1577717585.A.CB8.html
COOLBILL,12/30,4,Re: [新聞] 拒絕空汙！ 盧秀燕率藍營縣市長戴口罩,/bbs/Gossiping/M.1577718391.A.C55.html
allure1,12/30,3,Re: [新聞] 辯論會後TVBS民調蔡45%、韓29%、宋13%,/bbs/Gossiping/M.1577718498.A.8E3.html
aabbcc520,12/30,4,[問卦] 高雄領多少錢做多少事是不是真理的八卦,/bbs/Gossiping/M.1577718505.A.DD9.html
kid33,12/30,7,[問卦] 高考科員一定會當主管嗎?,/bbs/Gossiping/M.1577711836.A.107.html
elless,12/30,2,[問卦] 付了頭期款就開心的要死是不是很天？,/bbs/Gossiping/M.1577711961.A.914.html
xvited945,12/30,3,Re: [問卦] 那些要你投票的人,/bbs/Gossiping/M.1577712030.A.04E.html
whalelover,12/30,爆,[新聞] 韓辦回應德國在台協會：是否受特殊壓力,/bbs/Gossiping/M.1577715792.A.AC7.html
liang691206,12/30,2,Re: [問卦] 台灣垃圾無良慣老闆只給國立大學生29K？,/bbs/Gossiping/M.1577715797.A.808.html
d86249,12/30,4,[問卦] 手錶電子票證是不是噱頭?,/bbs/Gossiping/M.1577716568.A.6D4.html
andrewkuo,12/30,5,[新聞] 悉尼華裔副市長曾參加中共培訓課程,/bbs/Gossiping/M.1577716590.A.139.html
end56,12/30,27,[問卦] 為何蚊子飛一半會突然消失,/bbs/Gossiping/M.1577719076.A.F03.html
RX00,12/30,X4,[新聞] 張善政：九二共識被習近平與民進黨汙衊,/bbs/Gossiping/M.1577719104.A.2CF.html
iamshana,12/30,7,[問卦] 日本秘境車站節目如果去內獅站會如何,/bbs/Gossiping/M.1577719206.A.519.html
simplelove27,12/30,4,[問卦] 國小選自治市長的同學現在都在幹嘛,/bbs/Gossiping/M.1577715162.A.F6F.html
b10485762000,12/30,4,[新聞] 無罪！老兵1張發票詐走喜憨兒60包餅乾 法,/bbs/Gossiping/M.1577715189.A.61D.html
hangar,12/30,7,[問卦] 女生跟我說明天不想回家什麼意思? 衝了?,/bbs/Gossiping/M.1577715239.A.607.html
Reewalker,12/30,6,[問卦] 為何歐美早早下班 科技卻比中國強,/bbs/Gossiping/M.1577714373.A.B60.html
a111111,12/30,3,Re: [問卦] 台大生的資質 如果生在美國考得上哈佛嗎,/bbs/Gossiping/M.1577714379.A.A33.html
njxmzxc,12/30,1,Re: [問卦] 反對疫苗施打的人在想什麼？,/bbs/Gossiping/M.1577714427.A.7AB.html
tudo0430,12/30,2,[問卦] 台灣義和團是不是要被八國聯軍了？,/bbs/Gossiping/M.1577717611.A.C1A.html
Nodens,12/30,5,[問卦] 年輕8+9老闆現在都在做什麼?,/bbs/Gossiping/M.1577717674.A.14F.html
pencil,12/30,1,[新聞] （影）吳念真真情推薦 洪慈庸：抱著孩子,/bbs/Gossiping/M.1577718588.A.911.html
ilovesongyy,12/30,1,Re: [新聞] 苗栗公館山貓森林護石虎 竟有獵人闖入,/bbs/Gossiping/M.1577718637.A.009.html
k44754,12/30,8,[新聞] 苗栗公館山貓森林護石虎 竟有獵人闖入,/bbs/Gossiping/M.1577712121.A.7EE.html
TName,12/30,6,[新聞] 藍盼登記制.時力擴法網 反滲透法31日表決,/bbs/Gossiping/M.1577712132.A.1F4.html
LanceLiu,12/30,2,Re: [爆卦] 蘋果聲明回應韓國瑜,/bbs/Gossiping/M.1577712173.A.BCE.html
jjjj5j,12/30,9,[問卦] 耳鼻喉科掛號清耳屎？,/bbs/Gossiping/M.1577715835.A.25A.html
medama,12/30,11,[新聞] 2019年度五大好評照片 帶你來回顧　,/bbs/Gossiping/M.1577715857.A.554.html
avalox,12/30,48,Fw: [討論] 新竹市民調和八卦,/bbs/Gossiping/M.1577715909.A.6B1.html
cilay7391,12/30,12,[新聞] 店家沒小碗女客開罵  小女生仗義執言網讚,/bbs/Gossiping/M.1577716747.A.703.html
NAGI,12/30,49,[新聞] 北一女PK雄女！高嘉瑜、黃捷雙女神穿制服,/bbs/Gossiping/M.1577716751.A.41F.html
massacre,12/30,2,Re: [新聞] 綠黨民調78%不支持罷免柯文哲 王浩宇：瞭,/bbs/Gossiping/M.1577716751.A.ED8.html
goldman0204,12/30,2,[問卦] 有沒有德國的八卦?,/bbs/Gossiping/M.1577719239.A.EC4.html
dioradio,12/30,4,[問卦] 為什麼現在百貨公司都串來串去,/bbs/Gossiping/M.1577719364.A.212.html
hhll5566,12/30,3,[問卦] 甘寧老師怎麼看起來這麼帥！！,/bbs/Gossiping/M.1577719389.A.34B.html
blink173,12/30,2,[問卦] 知道鬍子哥的都幾歲了,/bbs/Gossiping/M.1577715284.A.196.html
oginome,12/30,1,[問卦] 怪醫黑傑克的皮諾可配音為啥改風格呢？,/bbs/Gossiping/M.1577715285.A.EF2.html
brokenback3,12/30,4,[問卦] 為何50歲的銀行襄理能追到歌壇林志玲？,/bbs/Gossiping/M.1577715304.A.A9D.html
nothisman,12/30,7,[新聞] 幼兒小朋友變身精靈 歲末年終送「藍染彩,/bbs/Gossiping/M.1577714431.A.E4C.html
zakijudelo,12/30,40,[問卦] 打算單身一輩子的人，老了如何處理,/bbs/Gossiping/M.1577714450.A.268.html
MagicMoney,12/30,64,[新聞] 國民黨花蓮黨部:傅崐萁有案在身 投他形同廢票,/bbs/Gossiping/M.1577714526.A.D97.html
hayate232,12/30,1,[問卦] 為什麼台灣房子隔音差又要蓋這麼近?,/bbs/Gossiping/M.1577717726.A.427.html
qwqwaas,12/30,15,[新聞] 終結12年單身…陳孝萱曝下一步規劃,/bbs/Gossiping/M.1577717734.A.B79.html
zerobx,12/30,3,Re: [新聞] 大學生放話「睡過這女人」 現任把前任男,/bbs/Gossiping/M.1577718663.A.35E.html
CCYuan,12/30,2,Re: [問卦] 女朋友的妹妹太愛我該怎麼辦？,/bbs/Gossiping/M.1577718695.A.7AB.html
kimura0701,12/30,5,[問卦] 聽Aimer的歌邊打手槍很變態嗎,/bbs/Gossiping/M.1577718715.A.D8A.html
syearth,12/30,9,[問卦] 名人不能罵髒話 是從哪時開始的假掰風氣?,/bbs/Gossiping/M.1577712217.A.726.html
david3809,12/30,3,Re: [問卦] 台灣垃圾無良慣老闆只給國立大學生29K？,/bbs/Gossiping/M.1577712232.A.53D.html
smd1201,12/30,1,Re: [問卦] 東吳法律vs台大外文,/bbs/Gossiping/M.1577712494.A.95B.html
kugga,12/30,1,Re: [新聞] 郭台銘與宋楚瑜直播吃早餐喊「棄韓保宋,/bbs/Gossiping/M.1577715940.A.C23.html
tok892xt7,12/30,2,[問卦] 收到一張無字的情書？,/bbs/Gossiping/M.1577715971.A.519.html
spy1530,12/30,16,[新聞] 郭台銘合體宋楚瑜脫口「棄韓保宋」,/bbs/Gossiping/M.1577716963.A.082.html
smsmsm,12/30,2,Re: [新聞] 德國在台協會：2022停用核能沒有改變,/bbs/Gossiping/M.1577717058.A.77A.html
fytnship,12/30,7,[新聞] 爭當第三勢力 新興小黨紛紛挑戰藍綠,/bbs/Gossiping/M.1577719390.A.026.html
yamap5566,12/30,2,[問卦] 如果摩斯有吃到飽 開價多少合理？,/bbs/Gossiping/M.1577719488.A.2D6.html
GentleJena,12/30,3,[問卦] 去旅館開房看開票可以找外送茶一起來嗎？,/bbs/Gossiping/M.1577715313.A.F4F.html
Eliphalet,12/30,43,[新聞] 竹科女酒後被撲倒　痛失第一次陷憂鬱…5,/bbs/Gossiping/M.1577715349.A.7B1.html
tamama000,12/30,2,[問卦] 驚!另一個我出現了!,/bbs/Gossiping/M.1577715404.A.F80.html
gx9900824,12/30,3,Re: [問卦] 跨年下雨怎麼辦,/bbs/Gossiping/M.1577714535.A.C2A.html
scott33,12/30,47,[新聞]韓競辦質疑尹立投標有特權？高市文化局: ,/bbs/Gossiping/M.1577714781.A.C5D.html
a1052026,12/30,X1,[新聞] 綠黨民調78%不支持罷免柯文哲 王浩宇：瞭,/bbs/Gossiping/M.1577714791.A.5DB.html
lrock,12/30,2,Re: [問卦] 剩一個多禮拜，選舉公報呢？,/bbs/Gossiping/M.1577717837.A.452.html
nobel777,12/30,4,[問卦] 吐口水在肥宅雞雞上會怎樣？,/bbs/Gossiping/M.1577717996.A.D7D.html
Intelnet,12/30,2,[新聞] 玄彬軍裝扮相帥出收視冠軍 搭擋37歲孫藝真,/bbs/Gossiping/M.1577718725.A.1D4.html
OrzOGC,12/30,3,[問卦] stack overflow 484碼農的共筆?,/bbs/Gossiping/M.1577712559.A.B26.html
Reewalker,12/30,3,[問卦] 以前沒有Google 工程師怎麼生存,/bbs/Gossiping/M.1577712610.A.4E3.html
sportlotte,12/30,49,[新聞]WWE摔角手恐同言論惹議 卻被翻出曾拍同志A,/bbs/Gossiping/M.1577712628.A.DA3.html
MBV1698,12/30,5,Re: [新聞] 扯！尹立被爆陳菊任內獲19標案,/bbs/Gossiping/M.1577716014.A.0EC.html
pusufu5566,12/30,16,[問卦] 幾歲開始覺得跨年很無聊,/bbs/Gossiping/M.1577716228.A.24E.html
GRDII,12/30,X6,[新聞]韓國瑜爆出辯論會台上疑「脫鞋搓腳」　王,/bbs/Gossiping/M.1577717134.A.BC6.html
GenghisKhan,12/30,2,Re: [問卦] 為什麼日本的馬拉松這麼強?,/bbs/Gossiping/M.1577715461.A.AEA.html
wnglon,12/30,1,Re: [問卦] 為何歐美早早下班 科技卻比中國強,/bbs/Gossiping/M.1577715540.A.0B9.html
silvertime,12/30,8,[問卦] 有人跟我一樣準備在家自己跨年了嗎,/bbs/Gossiping/M.1577714801.A.933.html
theophany,12/30,2,[問卦] 聖靈藥到底是要什麼時候吃,/bbs/Gossiping/M.1577714844.A.FBB.html
AppleWatch5,12/30,4,[問卦] 有F1要來台北的掛？,/bbs/Gossiping/M.1577718019.A.050.html
proprome,12/30,5,[問卦] 德國到底主流民意是擁核還是廢核??,/bbs/Gossiping/M.1577716346.A.77B.html
worldjournal,12/30,X1,[新聞] 演藝工會理事長康凱挺韓國瑜！痛罵蔡英文,/bbs/Gossiping/M.1577715647.A.B93.html
andy90498,12/30,20,[新聞] 贊助2020台北晚會 全球獨家轉播！愛奇藝,/bbs/Gossiping/M.1577714986.A.643.html
